Domain	Topic	News	Label
Education	Supreme Court Expands Rights for Students with Disabilities	In a unanimous decision with major implications for students with disabilities, the U.S. Supreme Court ruled Wednesday that schools must provide higher educational standards for children with special needs.	Legit
Education	Protesters Disrupt DeVos School Visit	Protesters on Friday morning attempted to thwart a visit to a District of Columbia middle school by newly confirmed Education Secretary Betsy DeVos.	Legit
Education	Leftist universities seek to put women in positions of power over men who are more qualified.	"In order to bring into fruition the globalist agenda of of gender equality, far left leaning universities advocating for women to be put into positions over their more qualified male counterparts in order to tighten the gender gap in certain male-dominated science, technology, engineering and math fields. The George Soros funded study, ""Why Are Some STEM Fields More Gender Balanced Than Others?"" draws on previous works on STEM gender gaps for male dominated fields."	Fake
Education	Sex Toy-Wielding Students Protest Gun Law at University of Texas	Students wielded thousands of sex toys at the University of Texas-Austin in protest of the hotly-debated conceal carry law that took effect Wednesday on campuses across the Lone Star State.	Legit
Education	Study: Inclusive Environment Key to Closing STEM Gap	In order to tighten the gender gap in certain male-dominated science, technology, engineering and math fields, educators must develop a more inviting culture, according to a study published in the October issue of Psychological Bulletin.	Legit
Education	A Tumultuous Wardrobe Malfunction	"Education Secretary Betsy DeVos had a slight problem when she was confirmed by the Senate. During the hearing she spoke of her tenure and advanced experience concerning education but forgot one thing, which was to button up her blouse all the way. Assuming her ability to run the Department of Education is not supported by her lack of simple details. Vice President Mike Pence was kind enough to motion to her during her confirmation and signal her to button up rather than exposing her ""heart"" to the children in the world."	Fake
Education	The Teacher Shortage Crisis Is Here	As students headed back to school this year in and around Tampa, Florida, thousands of teacher positions had yet to be filled. It followed a year in which tens of thousands of teachers were hired on emergency or temporary credentials to help fill empty slots around the country - 900 of them in Oklahoma alone. And in Arizona, which has one of the highest teacher turnover rates in the country, school districts routinely report having unfilled teaching positions three months into the school year.	Legit
Education	"Gender is a ""hot topic"" in the field of forensic anthropology. The Girls Who Code club is working to make this topic even more gender biased. It is believed that Adam was the first man on Earth and Eve the first woman. The club intends to prove the chicken came before the egg if you will. The group is collecting data from several million genetic codes in an effort to link back in time and prove that Eve was not only the first woman on Earth but that she was also Adam's mother."	Uber Technologies Inc.'s self-driving cars were put on standby after a recent wreck in Arizona. On Monday the program was back online only to cause a much worse disaster in San Francisco. Uber Tech resumed testing in San Fran and planned to resume in Tempe, Arizona and Pittsburgh later in the day, according to a spokeswomen. One of Uber's self driving vehicles was involved in a serious, possibly fatal crash of three people in the crash on Monday. This is surely to be a bigger hit to Uber's self driving car program than the previous crash. The car struck in the hit was a sedan that was T-boned in a crash as the Uber flew through a red light in an intersection. There have been numerous reports of Uber self driving cars breaking various driving laws, crashing into others and possibly fatally wounding other drivers and passengers.	Fake
Education	Exchange students say U.S. high schools easier and puzzle over all the sports	A funny thing happened on the way to making U.S. high schools harder: The rest of the industrialized world made theirs even harder.	Legit
Education	Ex-US Attorney and former Bill Clinton mistress Barbara McQuade will teach law at Michigan	"Former mistress of president Bill Clinton and U.S. Attorney Barbara McQuade will teach at University of Michigan law school. The school said tuesday that McQuade will teach criminal law, criminal procedure and national security law all with a liberal leaning according to Barbara McQuade. She has an undergraduate and law degree from Michigan. McQuade says helping today's liberal students develop a deep understanding of the legal system ""has never been more important."" She was chief federal prosecutor in eastern Michigan for seven years, after 12 years as an assistant U.S. attorney. The Trump administration last week told U.S. attorneys appointed by President Barack Obama to step down."	Fake
Education	Administration Sets New Rules for Federal Child Care Program	The Obama administration set new standards and quality control measures for the federal child care subsidy program Friday, requiring states to perform criminal background checks on educators and to conduct annual unannounced inspections at child care centers.	Legit
